Chinois,Pinyin,Anglais,Books,Chapter
要,yào,to want to,1-1,1
咖啡,kāfēi,coffee,1-1,1
烏龍茶,Wūlóng chá,Oolong tea,1-1,1
日本,Rìběn,Japan,1-1,1
美國,Měiguó,America,1-1,1
對不起,duìbùqǐ,I'm sorry.,1-1,1
哪國,nǎ guó,Which country?,1-1,1
的,de,modification marker,1-1,2
家人,jiārén,family (members),1-1,2
家,jiā,home OR house,1-1,2
漂亮,piàoliang,pretty,1-1,2
房子,fángzi,house,1-1,2
坐,zuò,to sit,1-1,2
好,hǎo,OK,1-1,2
有,yǒu,to have,1-1,2
多,duō,many,1-1,2
照片,zhàopiàn,photo,1-1,2
都,dōu,all OR both,1-1,2
照相,zhàoxiàng,to take a photo,1-1,2
張,zhāng,measure word for flat objects,1-1,2
好看,hǎokàn,good-looking,1-1,2
誰,shéi,who,1-1,2
姐姐,jiějie,older sister,1-1,2
妹妹,mèimei,younger sister,1-1,2
爸爸,bàba,dad,1-1,2
媽媽,māma,mom,1-1,2
請進,qǐng jìn,Please come in!,1-1,2
